nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;Mot;pronSampa;ipa
3;compūtāʹtion;L.;;;n.;46.0;55;computation;k A m p j @ t eI S @ n;kɑmpjət?ʃən
2;cŏʹmrāde;;;;n.;47.0;55;comrade;k A m r\ { d;kɑmɹæd
6;cŏncătĕnāʹtion;L.;;;n.;48.0;55;concatenation;k @ n k { t @ n eI S @ n;kənkætən?ʃən
2;cŏncāve;L.;nbSyll>1 et pas d'accent tonic;;a.;49.0;55;concave;k A n k eI v;kɑnk?v
2;cŏnceaʹl;L.;;;v.;51.0;55;conceal;k @ n s i: l;kənsiːl
2;cŏncēʹde;L.;;;v.;52.0;55;concede;k @ n s i: d;kənsiːd
2;cŏnceiʹt;;;;n.;53.0;55;conceit;k @ n s i: t;kənsiːt
3;cŏnceiʹted;;;;a.;54.0;55;conceited;k @ n s i: 4 @ d;kənsiːɾəd
2;cŏnceiʹve;F.;;;v.;55.0;55;conceive;k @ n s i: v;kənsiːv
3;cŏncĕʹntric;;;;a.;57.0;55;concentric;k @ n s E n t r\ i k;kənsɛntɹik
4;cŏncĕʹption;;;;n.;58.0;55;conception;k @ n s E p S @ n;kənsɛpʃən
2;cŏncĕʹrn;F.;;;n.;59.0;55;concern;k @ n s 3:r n;kənsɜ:rn
2;concĕʹrt;F.;;;v.;60.0;55;concert;k A n s 3:r t;kɑnsɜ:rt
4;cŏncĕʹſſion;L.;;;n.;61.0;55;concession;k @ n s E S @ n;kənsɛʃən
2;cŏncīʹſe;L.;;;a.;63.0;55;concise;k @ n s aI s;kəns?s
2;cŏnclūʹde;L.;;;v.;64.0;55;conclude;k @ n k l u d;kənklud
4;cŏnclūʹſion;L.;;;n.;65.0;55;conclusion;k @ n k l u Z @ n;kənkluʒən
4;cŏncŏʹction;L.;;;n.;66.0;55;concoction;k @ n k A k S @ n;kənkɑkʃən
4;cŏncŏmĭtant;L.;nbSyll>1 et pas d'accent tonic;;a.;67.0;55;concomitant;k A n k A m @ t @ n t;kɑnkɑmətənt
2;cŏʹncŏrd;L.;;;n.;68.0;55;concord;k A n k O: r\ d;kɑnkOːɹd
2;cŏʹncŏ_u_rſe;L.;;;n.;70.0;55;concourse;k A n k O: r\ s;kɑnkOːɹs
2;cŏncrēʹte;L.;;;a.;71.0;55;concrete;k @ n k r\ i: t;kənkɹiːt
4;cŏncūbĭʹnage;;;;n.;2.0;56;concubinage;k A n k j u b @ n @ dZ;kɑnkjubənə?
3;cŏʹncūbīne;L.;;;n.;3.0;56;concubine;k A n k j @ b aI n;kɑnkjəb?n
2;concŭʹr;;;;v.;5.0;56;concur;k @ n k 3:r;kənkɜ:r
3;concŭʹrrĕnce;;;;n.;6.0;56;concurrence;k @ n k 3:r @ n s;kənkɜ:rəns
4;concŭʹſſion;F.;;;n.;7.0;56;concussion;k @ n k V S @ n;kənkʌʃən
2;cŏndĕʹm_n_;L.;;;v.;8.0;56;condemn;k @ n d E m;kəndɛm
5;cŏndĕmnāʹtion;L.;;;n.;9.0;56;condemnation;k A n d @ m n eI S @ n;kɑndəmn?ʃən
5;cŏndĕnsāʹtion;L.;;;n.;10.0;56;condensation;k A n d @ n s eI S @ n;kɑndəns?ʃən
2;condĕʹnſe;L.;;;v.;11.0;56;condense;k @ n d E n s;kəndɛns
3;condĕſcĕʹnd;F.;;;v.;14.0;56;condescend;k A n d i s E n d;kɑndisɛnd
5;condĕſcĕʹnſion;;;;n.;15.0;56;condescension;k A n d @ s E n S @ n;kɑndəsɛnʃən
4;condĭʹtĭon;L.;;;n.;17.0;56;condition;k @ n d I S @ n;kəndɪʃən
5;condĭʹtĭonal;;;;a.;18.0;56;conditional;k @ n d I S @ n @ l;kəndɪʃənəl
2;cŏndūʹce;L.;;;v.;20.0;56;conduce;k @ n d u s;kəndus
2;cŏʹndŭct;L.;;;n.;21.0;56;conduct;k @ n d V k t;kəndʌkt
2;cŏʹnd_u_ĭt;F.;;;n.;22.0;56;conduit;k A n d u i t;kɑnduit
1;cōne;;;;n.;23.0;56;cone;k @U n;koʊn
2;cŏʹney;L.;;;n.;24.0;56;coney;k @U n i:;koʊniː
4;cŏnfĕʹction;L.;;;n.;26.0;56;confection;k @ n f E k S @ n;kənfɛkʃən
5;confĕʹctioner;;;;n.;27.0;56;confectioner;k @ n f E k S @ n 3:r;kənfɛkʃənɜ:r
5;cŏnfēʹdĕrăcy;L.;;;n.;29.0;56;confederacy;k @ n f E 4 3:r @ s i:;kənfɛɾɜ:rəsiː
2;cŏnfĕʹr;L.;;;v.;30.0;56;confer;k @ n f 3:r;kənfɜ:r
3;cŏʹnfĕrĕnce;;;;n.;31.0;56;conference;k A n f 3:r @ n s;kɑnfɜ:rəns
2;confĕʹſs;F.;;;v.;32.0;56;confess;k @ n f E s;kənfɛs
2;confīʹde;L.;;;v.;35.0;56;confide;k @ n f aI d;kənf?d
3;cŏʹnfĭdĕnce;;;;n.;36.0;56;confidence;k A n f @ d @ n s;kɑnfədəns
3;cŏʹnfĭdent;;;;a.;37.0;56;confident;k A n f @ d @ n t;kɑnfədənt
6;cŏnfĭgūrāʹtion;L.;;;n.;38.0;56;configuration;k @ n f I g j 3:r eI S @ n;kənfɪgjɜ:r?ʃən
2;cŏnfīʹne;L.;;;v.;39.0;56;confine;k @ n f aI n;kənf?n
3;confīʹn_e_ment;L.;;;n.;40.0;56;confinement;k @ n f aI n m @ n t;kənf?nmənt
2;cŏʹnfīnes;F.;;;n.;41.0;56;confines;k A n f aI n z;kɑnf?nz
2;confĭʹrm;L.;;;v.;42.0;56;confirm;k @ n f 3:r m;kənfɜ:rm
5;confĭrmāʹtion;;;;n.;43.0;56;confirmation;k A n f 3:r m eI S @ n;kɑnfɜ:rm?ʃən
3;confĭʹſcāte;L.;;;v.;44.0;56;confiscate;k A n f @ s k eI t;kɑnfəsk?t
5;conflăgrāʹtion;L.;;;n.;45.0;56;conflagration;k A n f l @ g r\ eI S @ n;kɑnfləgɹ?ʃən
2;cŏʹnflĭct;L.;;;n.;46.0;56;conflict;k A n f l i k t;kɑnflikt
3;cŏʹnflūence;L.;;;n.;47.0;56;confluence;k A n f l u @ n s;kɑnfluəns
3;cŏʹnflŭx;L.;;;n.;48.0;56;conflux;k A n f l V k s;kɑnflʌks
2;cŏnfoʹrm;L.;;;v.;49.0;56;conform;k @ n f O: r\ m;kənfOːɹm
4;confŏrʹmĭty;L.;;;n.;52.0;56;conformity;k @ n f O: r\ m @ 4 i:;kənfOːɹməɾiː
2;cŏnfrŏʹnt;L.;;;v.;53.0;56;confront;k @ n f r\ V n t;kənfɹʌnt
4;confūʹſion;L.;;;n.;54.0;56;confusion;k @ n f j u Z @ n;kənfjuʒən
2;congeaʹl;L.;;;v.;56.0;56;congeal;k @ n dZ i: l;kən?iːl
4;congĕʹnĭal;L.;;;a.;58.0;56;congenial;k @ n dZ i: n j @ l;kən?iːnjəl
2;cŏʹnger;;;;n.;59.0;56;conger;k O: N 3:r;kOːŋɜ:r
4;conglŏʹmĕrāte;L.;;;v.;61.0;56;conglomerate;k @ n g l A m 3:r @ t;kənglɑmɜ:rət
3;coʹngrĕgāte;L.;;;v.;63.0;56;congregate;k A N g r\ @ g eI t;kɑŋgɹəg?t
5;congrĕgāʹtion;L.;;;n.;64.0;56;congregation;k A N g r\ @ g eI S @ n;kɑŋgɹəg?ʃən
2;cŏʹngrĕſs;L.;;;n.;65.0;56;congress;k A N g r\ @ s;kɑŋgɹəs
4;congrūʹity;L.;;;n.;66.0;56;congruity;k @ n g r\ u @ 4 i:;kəngɹuəɾiː
2;cŏʹnĭc;L.;;;a.;67.0;56;conic;k A n i k;kɑnik
2;conjoiʹn;L.;;;v.;69.0;56;conjoin;k A n dZ OI n;kɑn??n
3;conjūʹgal;L.;;;a.;71.0;56;conjugal;k A n dZ @ g @ l;kɑn?əgəl
3;cŏʹnjūgāte;L.;;;v.;72.0;56;conjugate;k A n dZ @ g eI t;kɑn?əg?t
4;conjŭʹnction;L.;;;n.;73.0;56;conjunction;k @ n dZ V N k S @ n;kən?ʌŋkʃən
2;conjūʹre;;;;v.;4.0;57;conjure;k A n dZ 3:r;kɑn?ɜ:r
2;connĕʹct;L.;;;v.;6.0;57;connect;k @ n E k t;kənɛkt
4;connĕʹxĭon;L.;;;n.;7.0;57;connexion;k @ n E k S @ n;kənɛkʃən
3;cŏnnīʹvance;;;;n.;8.0;57;connivance;k @ n aI v @ n s;kən?vəns
2;cŏʹnquer;F.;;;v.;10.0;57;conquer;k A N k 3:r;kɑŋkɜ:r
3;cŏʹnquĕrŏr;F.;;;n.;11.0;57;conqueror;k A N k 3:r 3:r;kɑŋkɜ:rɜ:r
2;cŏʹnquĕſt;F.;;;n.;12.0;57;conquest;k A N k w E s t;kɑŋkwɛst
3;cŏʹnſcĭĕnce;F.;;;n.;14.0;57;conscience;k A n S @ n s;kɑnʃəns
5;cŏnſcĭĕʹnti_o_us;;;;n.;15.0;57;conscientious;k A n S i: E n S @ s;kɑnʃiːɛnʃəs
3;cŏʹnſcĭ_o_us;;;;a.;17.0;57;conscious;k A n S @ s;kɑnʃəs
3;cŏnʹſĕcrāte;L.;;;v.;19.0;57;consecrate;k A n s @ k r\ eI t;kɑnsəkɹ?t
4;conſĕʹcūtĭve;F.;;;a.;20.0;57;consecutive;k @ n s E k j @ 4 i v;kənsɛkjəɾiv
2;conſĕʹnt;F.;;;v.;21.0;57;consent;k @ n s E n t;kənsɛnt
3;cŏʹnſĕquĕnce;F.;;;n.;22.0;57;consequence;k A n s @ k w @ n s;kɑnsəkwəns
4;cŏnſĕrvāʹtor;;;;n.;23.0;57;conservator;k @ n s 3:r v @ 4 3:r;kənsɜ:rvəɾɜ:r
5;conſĕʹrvătory;;;;n.;24.0;57;conservatory;k @ n s 3:r v @ 4 O: r\ i:;kənsɜ:rvəɾOːɹiː
2;cŏnſĕʹrve;L.;;;v.;25.0;57;conserve;k @ n s 3:r v;kənsɜ:rv
3;cŏnsĭʹd_e_r;L.;;;v.;26.0;57;consider;k @ n s I 4 3:r;kənsɪɾɜ:r
5;cŏnsĭʹdĕrable;;;;a.;27.0;57;considerable;k @ n s I 4 3:r @ b @ l;kənsɪɾɜ:rəbəl
4;consĭʹdĕrāte;;;;a.;28.0;57;considerate;k @ n s I 4 3:r @ t;kənsɪɾɜ:rət
6;consĭdĕrāʹtion;;;;n.;29.0;57;consideration;k @ n s I 4 3:r eI S @ n;kənsɪɾɜ:r?ʃən
2;cŏnsīʹ_g_n;;;;v.;30.0;57;consign;k @ n s aI n;kəns?n
2;consʹĭſt;L.;;;v.;31.0;57;consist;k @ n s I s t;kənsɪst
3;consĭʹſtĕnce;;;;n.;32.0;57;consistence;k @ n s I s t @ n s;kənsɪstəns
3;consĭʹſtent;;;;a.;33.0;57;consistent;k @ n s I s t @ n t;kənsɪstənt
4;consŏʹlĭdāte;L.;;;v.;38.0;57;consolidate;k @ n s A l i d eI t;kənsɑlid?t
3;cŏʹnsŏnănt;;;;n.;40.0;57;consonant;k A n s @ n @ n t;kɑnsənənt
2;cŏʹnsŏrt;F.;;;n.;41.0;57;consort;k @ n s O: r\ t;kənsOːɹt
4;conſpĭʹcū_o_us;L.;;;n.;42.0;57;conspicuous;k @ n s p I k j u @ s;kənspɪkjuəs
4;cŏnſpĭʹrăcy;;;;n.;43.0;57;conspiracy;k @ n s p I r\ @ s i:;kənspɪɹəsiː
4;cŏnſpĭʹrător;;;;n.;44.0;57;conspirator;k @ n s p I r\ @ 4 3:r;kənspɪɹəɾɜ:r
2;cŏnſpīʹre;L.;;;v.;45.0;57;conspire;k @ n s p aI 3:r;kənsp?ɜ:r
3;cŏʹnſtable;F.;;;n.;46.0;57;constable;k A n s t @ b @ l;kɑnstəbəl
3;cŏʹnſtăncy;L.;;;n.;47.0;57;constancy;k A n s t @ n s i:;kɑnstənsiː
2;cŏʹnſtănt;L.;;;a.;48.0;57;constant;k A n s t @ n t;kɑnstənt
5;conſtĕllāʹtĭon;;;;n.;49.0;57;constellation;k A n s t @ l eI S @ n;kɑnstəl?ʃən
5;cŏnſtĕrnāʹtion;F.;;;n.;50.0;57;consternation;k A n s t 3:r n eI S @ n;kɑnstɜ:rn?ʃən
3;cŏʹnſtĭpāte;L.;;;v.;51.0;57;constipate;k A n s t @ p eI t;kɑnstəp?t
4;conſtĭʹtūĕnt;;;;a.;52.0;57;constituent;k @ n s t I tS u @ n t;kənstɪ?uənt
3;cŏʹnſtĭtūte;L.;;;v.;53.0;57;constitute;k A n s t @ t u t;kɑnstətut
5;conſtĭtūʹtion;;;;n.;54.0;57;constitution;k A n s t @ t u S @ n;kɑnstətuʃən
2;conſtraiʹn;L.;;;v.;55.0;57;constrain;k @ n s t r\ eI n;kənstɹ?n
2;conſtraiʹnt;;;;n.;56.0;57;constraint;k @ n s t r\ eI n t;kənstɹ?nt
4;conſtrĭʹction;L.;;;n.;57.0;57;constriction;k @ n s t r\ I k S @ n;kənstɹɪkʃən
4;conſtrŭʹction;F.;;;n.;58.0;57;construction;k @ n s t r\ V k S @ n;kənstɹʌkʃən
2;cŏʹnſtrūe;L.;;;v.;59.0;57;construe;k @ n s t r\ u;kənstɹu
2;cŏnſŭʹl;L.;;;n.;62.0;57;consul;k A n s @ l;kɑnsəl
2;cŏnſŭʹlt;L.;;;v.;63.0;57;consult;k @ n s V l t;kənsʌlt
2;cŏnsūʹme;L.;;;v.;64.0;57;consume;k @ n s u m;kənsum
3;cŏnsŭʹmmāte;;;;a.;65.0;57;consummate;k A n s @ m @ t;kɑnsəmət
5;consŭmmāʹtĭon;;;;n.;66.0;57;consummation;k A n s @ m eI S @ n;kɑnsəm?ʃən
4;consŭʹm_p_tion;F.;;;n.;67.0;57;consumption;k @ n s V m p S @ n;kənsʌmpʃən
2;cŏʹntăct;L.;;;n.;69.0;57;contact;k A n t { k t;kɑntækt
4;contāʹgion;F.;;;n.;70.0;57;contagion;k @ n t eI dZ @ n;kənt??ən
4;cŏntāʹgĭ_o_us;;;;a.;71.0;57;contagious;k @ n t eI dZ @ s;kənt??əs
2;contaiʹn;;;;v.;72.0;57;contain;k @ n t eI n;kənt?n
4;contăʹmĭnāte;L.;;;v.;2.0;58;contaminate;k @ n t { m @ n eI t;kəntæmən?t
3;contĕʹmplāte;L.;;;v.;4.0;58;contemplate;k A n t @ m p l eI t;kɑntəmpl?t
5;contĕmplaʹtion;L.;;;n.;5.0;58;contemplation;k A n t @ m p l eI S @ n;kɑntəmpl?ʃən
4;cŏntĕʹmplătive;;;;a.;6.0;58;contemplative;k @ n t E m p l @ 4 i v;kəntɛmpləɾiv
5;contĕʹmpŏrăry;;;;n.;7.0;58;contemporary;k @ n t E m p 3:r E r\ i:;kəntɛmpɜ:rɛɹiː
2;contĕʹmpt;L.;;;v.;8.0;58;contempt;k @ n t E m p t;kəntɛmpt
4;contĕʹmptĭble;L.;;;a.;9.0;58;contemptible;k @ n t E m p t @ b @ l;kəntɛmptəbəl
2;contĕʹnd;L.;;;v.;11.0;58;contend;k @ n t E n d;kəntɛnd
2;contĕʹnt;;;;v.;12.0;58;content;k A n t E n t;kɑntɛnt
3;contĕʹntment;;;;n.;13.0;58;contentment;k @ n t E n t m @ n t;kəntɛntmənt
4;contĕʹntion;L.;;;n.;14.0;58;contention;k @ n t E n S @ n;kəntɛnʃən
4;contĕʹnti_o_us;;;;a.;15.0;58;contentious;k @ n t E n S @ s;kəntɛnʃəs
2;contĕʹnts;L.;;;n.;16.0;58;contents;k A n t E n t s;kɑntɛnts
2;cŏʹnteſt;F.;;;n.;17.0;58;contest;k A n t E s t;kɑntɛst
2;cŏʹntĕxt;L.;;;n.;18.0;58;context;k A n t E k s t;kɑntɛkst
4;cŏntĭʹgū_o_us;L.;;;a.;20.0;58;contiguous;k @ n t I g j u @ s;kəntɪgjuəs
3;cŏʹntĭnent;L.;;;a.;22.0;58;continent;k A n t @ n @ n t;kɑntənənt
3;contĭʹngent;F.;;;a.;23.0;58;contingent;k @ n t I n dZ @ n t;kəntɪn?ənt
4;contĭʹnūal;;;;a.;24.0;58;continual;k @ n t I n j u @ l;kəntɪnjuəl
3;cŏntĭʹnūe;F.;;;v.;25.0;58;continue;k @ n t I n j u;kəntɪnju
4;contĭʹnūed;;;;a.;26.0;58;continued;k @ n t I n j u d;kəntɪnjud
5;continūʹĭty;F.;;;n.;27.0;58;continuity;k A n t @ n u @ 4 i:;kɑntənuəɾiː
3;cŏʹntrăbănd;F.;;;a.;30.0;58;contraband;k A n t r\ @ b { n d;kɑntɹəbænd
2;cŏntrăʹct;F.;;;n.;31.0;58;contract;k A n t r\ { k t;kɑntɹækt
4;cŏntrăʹction;F.;;;n.;32.0;58;contraction;k @ n t r\ { k S @ n;kəntɹækʃən
3;cŏntrādiʹct;L.;;;v.;33.0;58;contradict;k A n t r\ @ d I k t;kɑntɹədɪkt
5;contrādĭʹction;;;;n.;34.0;58;contradiction;k A n t r\ @ d I k S @ n;kɑntɹədɪkʃən
5;contrādĭʹctŏry;;;;a.;35.0;58;contradictory;k A n t r\ @ d I k t 3:r i:;kɑntɹədɪktɜ:riː
6;contrādĭstiʹnction;L.;;;n.;36.0;58;contradistinction;k A n t r\ @ d i s t I N k S @ n;kɑntɹədistɪŋkʃən
3;cŏʹntrăry;L.;;;a.;38.0;58;contrary;k A n t r\ E r\ i:;kɑntɹɛɹiː
2;cŏʹntrăſt;L.;;;n.;39.0;58;contrast;k A n t r\ { s t;kɑntɹæst
5;contrāvĕʹntion;F.;;;n.;41.0;58;contravention;k A n t r\ @ v E n tS @ n;kɑntɹəvɛn?ən
3;contrĭʹbūte;L.;;;v.;42.0;58;contribute;k @ n t r\ I b j u t;kəntɹɪbjut
5;contrĭbūʹtion;L.;;;n.;43.0;58;contribution;k A n t r\ @ b j u S @ n;kɑntɹəbjuʃən
2;cŏʹntrīte;F.;;;v.;44.0;58;contrite;k @ n t r\ aI t;kəntɹ?t
4;contrĭʹtion;;;;n.;45.0;58;contrition;k @ n t r\ I S @ n;kəntɹɪʃən
3;contrīʹvănce;F.;;;n.;46.0;58;contrivance;k @ n t r\ aI v @ n s;kəntɹ?vəns
2;contrīʹve;F.;;;v.;47.0;58;contrive;k @ n t r\ aI v;kəntɹ?v
2;contrŏʹl;L.;;;v.;48.0;58;control;k @ n t r\ @U l;kəntɹoʊl
5;contrŏvĕʹrsĭal;;;;a.;50.0;58;controversial;k A n t r\ @ v 3:r S @ l;kɑntɹəvɜ:rʃəl
4;coʹntrŏvĕrſy;L.;;;n.;51.0;58;controversy;k A n t r\ @ v 3:r s i:;kɑntɹəvɜ:rsiː
4;contūʹsion;L.;;;n.;57.0;58;contusion;k @ n t u Z @ n;kəntuʒən
2;convēʹne;L.;;;v.;58.0;58;convene;k @ n v i: n;kənviːn
4;convĕʹnĭĕnce;;;;n.;59.0;58;convenience;k @ n v i: n j @ n s;kənviːnjəns
4;cŏnvĕʹnĭĕnt;L.;;;a.;60.0;58;convenient;k @ n v i: n j @ n t;kənviːnjənt
2;cŏʹnvent;F.;;;n.;61.0;58;convent;k A n v @ n t;kɑnvənt
4;convĕʹntion;L.;;;n.;63.0;58;convention;k @ n v E n S @ n;kənvɛnʃən
4;convĕʹrgent;L.;;;a.;64.0;58;convergent;k @ n v 3:r dZ @ n t;kənvɜ:r?ənt
3;convĕʹrſant;L.;;;a.;66.0;58;conversant;k @ n v 3:r s @ n t;kənvɜ:rsənt
5;convĕrsaʹtion;F.;;;n.;67.0;58;conversation;k A n v 3:r s eI S @ n;kɑnvɜ:rs?ʃən
2;cŏʹnvĕrſe;L.;;;n.;68.0;58;converse;k A n v 3:r s;kɑnvɜ:rs
4;cŏnvĕʹrsion;;;;n.;69.0;58;conversion;k @ n v 3:r Z @ n;kənvɜ:rʒən
2;cŏʹnvert;;;;n.;70.0;58;convert;k A n v 3:r t;kɑnvɜ:rt
4;cŏnvĕʹrtĭble;;;;a.;71.0;58;convertible;k @ n v 3:r 4 @ b @ l;kənvɜ:rɾəbəl
2;cŏʹnvĕx;L.;;;a.;72.0;58;convex;k @ n v E k s;kənvɛks
2;cŏnveʹy;F.;;;v.;3.0;59;convey;k @ n v eI;kənv?
3;conveʹyănce;F.;;;n.;4.0;59;conveyance;k @ n v eI @ n s;kənv?əns
2;cŏʹnvĭct;L.;;;n.;6.0;59;convict;k A n v i k t;kɑnvikt
4;cŏnvĭʹction;L.;;;n.;7.0;59;conviction;k @ n v I k S @ n;kənvɪkʃən
2;cŏnvĭʹnce;L.;;;v.;8.0;59;convince;k @ n v I n s;kənvɪns
3;conŭʹndrŭm;;;;n.;9.0;59;conundrum;k @ n V n d r\ @ m;kənʌndɹəm
5;cŏnvŏcāʹtion;L.;;;n.;10.0;59;convocation;k A n v @ k eI S @ n;kɑnvək?ʃən
2;coʹnvoy;F.;;;n.;12.0;59;convoy;k A n v OI;kɑnv?
4;cŏnvŭʹlſion;L.;;;n.;13.0;59;convulsion;k @ n v V l S @ n;kənvʌlʃən
1;coo;;;;v.;14.0;59;coo;k u;ku
1;cook;;;;n.;15.0;59;cook;k U k;kʊk
1;cool;;;;v.;17.0;59;cool;k u l;kul
2;cooʹler;;;;n.;18.0;59;cooler;k u l 3:r;kulɜ:r
1;coop;;;;n.;21.0;59;coop;k u p;kup
2;coоpʹ_e_r;;;;n.;22.0;59;cooper;k u p 3:r;kupɜ:r
1;coot;;;;n.;25.0;59;coot;k u t;kut
3;cōpăʹrtner;;;;n.;26.0;59;copartner;k @U p A r\ t n 3:r;koʊpɑɹtnɜ:r
1;cōpe;;;;n.;27.0;59;cope;k @U p;koʊp
4;cŏpĕʹrnĭcan;;;;n.;28.0;59;copernican;k @ p 3:r n @ k @ n;kəpɜ:rnəkən
3;cōʹpĭ_o_us;L.;;;a.;29.0;59;copious;k @U p i: @ s;koʊpiːəs
2;cŏʹpp_e_l;;;;n.;31.0;59;coppel;k A p @ l;kɑpəl
2;cŏʹpp_e_r;;;;n.;32.0;59;copper;k A p 3:r;kɑpɜ:r
2;cŏʹpy;F.;;;n.;36.0;59;copy;k A p i:;kɑpiː
3;cŏʹrăcle;;;;n.;39.0;59;coracle;k O: r\ @ k @ l;kOːɹəkəl
2;cŏʹral;F.;;;n.;40.0;59;coral;k O: r\ @ l;kOːɹəl
1;cord;F.;;;n.;41.0;59;cord;k O: r\ d;kOːɹd
2;cŏʹrdage;;;;n.;42.0;59;cordage;k O: r\ 4 @ dZ;kOːɹɾə?
3;cŏʹrdĭal;F.;;;n.;44.0;59;cordial;k O: r\ dZ @ l;kOːɹ?əl
1;cōre;L.;;;n.;46.0;59;core;k O: r\;kOːɹ
4;cŏrĭaʹnd_e_r;G.;;;n.;47.0;59;coriander;k O: r\ i: { n d 3:r;kOːɹiːændɜ:r
4;cŏrĭʹnthĭan;;;;a.;48.0;59;corinthian;k 3:r I n T i: @ n;kɜ:rɪnθiːən
1;cork;;;;n.;49.0;59;cork;k O: r\ k;kOːɹk
3;cŏʹrmŏrănt;F.;;;n.;50.0;59;cormorant;k O: r\ m 3:r @ n t;kOːɹmɜ:rənt
1;corn;;;;n.;51.0;59;corn;k O: r\ n;kOːɹn
2;cŏʹrner;;;;n.;53.0;59;corner;k O: r\ n 3:r;kOːɹnɜ:r
2;cŏʹrnet;F.;;;n.;54.0;59;cornet;k O: r\ n E t;kOːɹnɛt
4;cŏrŏʹllăry;L.;;;n.;58.0;59;corollary;k O: r\ @ l E r\ i:;kOːɹəlɛɹiː
3;cŏrōʹnā;L.;;;n.;59.0;59;corona;k 3:r @U n @;kɜ:roʊnə
5;cŏrŏnāʹtion;L.;;;n.;60.0;59;coronation;k O: r\ @ n eI S @ n;kOːɹən?ʃən
3;cŏʹrŏner;;;;n.;61.0;59;coroner;k O: r\ @ n 3:r;kOːɹənɜ:r
3;cŏʹrŏnet;;;;n.;62.0;59;coronet;k O: r\ @ n E t;kOːɹənɛt
3;cŏʹrpŏral;F.;;;a.;63.0;59;corporal;k O: r\ p 3:r @ l;kOːɹpɜ:rəl
5;cŏrpŏraʹtion;L.;;;n.;64.0;59;corporation;k O: r\ p 3:r eI S @ n;kOːɹpɜ:r?ʃən
1;corps;F.;;;n.;66.0;59;corps;k O: r\;kOːɹ
3;cŏʹrpūlent;;;;a.;68.0;59;corpulent;k O: r\ p j @ l @ n t;kOːɹpjələnt
3;cŏʹrpŭſcl_e_s;L.;;;n.;69.0;59;corpuscles;k O: r\ p V s @ l z;kOːɹpʌsəlz
2;cŏrrĕct;L.;nbSyll>1 et pas d'accent tonic;;v.;70.0;59;correct;k 3:r E k t;kɜ:rɛkt
4;cŏrrĕʹction;;;;n.;71.0;59;correction;k 3:r E k S @ n;kɜ:rɛkʃən
3;cŏrrĕſpoʹnd;F.;;;v.;73.0;59;correspond;k O: r\ @ s p A n d;kOːɹəspɑnd
4;cŏrrĕſpŏʹndĕnce;F.;;;n.;2.0;60;correspondence;k O: r\ @ s p A n d @ n s;kOːɹəspɑndəns
4;cŏrrĕſpŏʹndent;;;;a.;3.0;60;correspondent;k O: r\ @ s p A n d @ n t;kOːɹəspɑndənt
3;cŏʹrridor;F.;;;n.;4.0;60;corridor;k O: r\ @ 4 3:r;kOːɹəɾɜ:r
4;cŏrrŏʹbŏrāte;L.;;;v.;6.0;60;corroborate;k 3:r A b 3:r eI t;kɜ:rɑbɜ:r?t
2;cŏrrōʹde;L.;;;v.;7.0;60;corrode;k 3:r @U d;kɜ:roʊd
3;cŏrrŏʹſive;;;;a.;8.0;60;corrosive;k 3:r @U s i v;kɜ:roʊsiv
3;cŏʹrrūgāte;L.;;;v.;9.0;60;corrugate;k O: r\ @ g eI t;kOːɹəg?t
2;cŏrruʹpt;L.;;;v.;10.0;60;corrupt;k 3:r V p t;kɜ:rʌpt
4;corrŭʹption;L.;;;n.;11.0;60;corruption;k 3:r V p S @ n;kɜ:rʌpʃən
2;cŏrſaiʹr;F.;;;n.;12.0;60;corsair;k O: r\ s E r\;kOːɹsɛɹ
1;corſe;F.;;;n.;13.0;60;corse;k O: r\ s;kOːɹs
3;cŏſmĕʹtics;G.;;;n.;16.0;60;cosmetics;k A z m E 4 i k s;kɑzmɛɾiks
2;cŏʹſſet;;;;n.;18.0;60;cosset;k A s @ t;kɑsət
1;coſt;L.;;;n.;19.0;60;cost;k A s t;kɑst
2;cŏʹttage;;;;n.;24.0;60;cottage;k A 4 @ dZ;kɑɾə?
2;cŏʹtt_o_n;F.;;;n.;26.0;60;cotton;k A t @ n;kɑtən
1;cove;;;;n.;28.0;60;cove;k @U v;koʊv
3;cŏʹvĕnant;F.;;;n.;29.0;60;covenant;k V v @ n @ n t;kʌvənənt
2;cŏʹver;;;;n.;30.0;60;cover;k V v 3:r;kʌvɜ:r
2;cŏʹvert;F.;;;n.;32.0;60;covert;k @U v 3:r t;koʊvɜ:rt
3;cŏʹvĕrtly;;;;p.;33.0;60;covertly;k V v 3:r t l i:;kʌvɜ:rtliː
2;cŏʹvet;;;;v.;34.0;60;covet;k V v @ t;kʌvət
2;cŏʹvin;;;;n.;36.0;60;covin;k @U v i n;koʊvin
2;c_o_ŭʹntry;F.;;;n.;52.0;60;country;k V n t r\ i:;kʌntɹiː
2;c_o_ŭʹple;F.;;;n.;54.0;60;couple;k V p @ l;kʌpəl
2;c_o_ŭʹrage;F.;;;n.;56.0;60;courage;k 3:r @ dZ;kɜ:rə?
4;c_o_ŭrāʹgē_o_us;;;;a.;57.0;60;courageous;k 3:r eI dZ @ s;kɜ:r??əs
3;c_o_ŭʹrĭer;F.;;;n.;58.0;60;courier;k 3:r i: 3:r;kɜ:riːɜ:r
1;cō_u_rſe;L.;;;n.;59.0;60;course;k O: r\ s;kOːɹs
